Splits	Weights	LEAHY_P_Dem	MARKEY_E_Dem	SCHUMER_C_Dem	WYDEN_R_Dem	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	VAN_HOLLEN_C_Dem	MURPHY_C_Dem	HIRONO_M_Dem	GILLIBRAND_K_Dem	PETERS_G_Dem	HEINRICH_M_Dem	SINEMA_K_Dem	DUCKWORTH_T_Dem	ROSEN_J_Dem	REED_J_Dem	SANDERS_B_Ind	MENENDEZ_R_Dem	BROWN_S_Dem	STABENOW_D_Dem	UDALL_T_Dem	BALDWIN_T_Dem	CANTWELL_M_Dem	KLOBUCHAR_A_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	KAINE_T_Dem	BOOKER_C_Dem	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	JONES_G_Dem	SMITH_T_Dem	FEINSTEIN_D_Dem	MURRAY_P_Dem
85	20.908476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
86	21.003159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
87	4.169148	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
88	.315956	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
89	25.609446	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
90	19.055891	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
91	27.320629	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
92	.440304	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1
93	2.211313	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1
94	22.526714	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
95	23.028585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
96	4.737322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
97	15.045627	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
98	.547103	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1
99	6.034067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100	2.231926	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1
101	.097758	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1
102	21.983301	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
103	24.054522	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
